文件修改频率统计表：
| 修改次数       | 文件路径                                                         |
| 3          | src/ast/ast.h                                                |
| 3          | src/compiler/ast-graph-builder.cc                            |
| 3          | src/crankshaft/hydrogen.h                                    |
| 3          | src/interpreter/bytecode-generator.h                         |
| 3          | src/runtime/runtime-scopes.cc                                |
| 3          | src/frames.cc                                                |
| 3          | src/frames.h                                                 |
| 2          | src/factory.h                                                |
| 2          | src/heap/heap-inl.h                                          |
| 2          | src/snapshot/serializer.cc                                   |
| 2          | src/snapshot/code-serializer.cc                              |
| 2          | src/taint_tracking/symbolic_analysis.cc                      |
| 2          | gni/v8.gni                                                   |
| 2          | src/field-type.cc                                            |
| 2          | src/builtins/builtins-function.cc                            |
| 2          | src/runtime/runtime-compiler.cc                              |
| 2          | src/ast/ast.cc                                               |
| 2          | src/compiler/ast-graph-builder.h                             |
| 2          | src/contexts.h                                               |
| 2          | src/code-stubs.cc                                            |
| 2          | src/execution.cc                                             |
| 2          | src/taint_tracking/object_versioner.cc                       |
| 2          | src/taint_tracking/object_versioner.h                        |
| 2          | src/source-position-table.h                                  |
| 1          | test/cctest/cctest.gyp                                       |
| 1          | src/arm/code-stubs-arm.cc                                    |
| 1          | src/arm64/code-stubs-arm64.cc                                |
| 1          | src/heap/spaces.cc                                           |
| 1          | src/mips/code-stubs-mips.cc                                  |
| 1          | src/mips64/code-stubs-mips64.cc                              |
| 1          | src/ppc/code-stubs-ppc.cc                                    |
| 1          | src/s390/code-stubs-s390.cc                                  |
| 1          | src/x87/code-stubs-x87.cc                                    |
| 1          | src/json-stringifier.h                                       |
| 1          | src/json11.cc                                                |
| 1          | src/json11.hpp                                               |
| 1          | src/isolate.h                                                |
| 1          | src/assembler.cc                                             |
| 1          | src/assembler.h                                              |
| 1          | src/code-stub-assembler.h                                    |
| 1          | src/external-reference-table.cc                              |
| 1          | src/external-reference-table.h                               |
| 1          | src/snapshot/serializer-common.cc                            |
| 1          | src/{ => taint_tracking}/json11.cc                           |
| 1          | src/{ => taint_tracking}/json11.hpp                          |
| 1          | src/{ => taint_tracking}/taint_log_record.cc                 |
| 1          | src/{ => taint_tracking}/taint_log_record.h                  |
| 1          | src/{ => taint_tracking}/taint_tracking.cc                   |
| 1          | src/taint_tracking/json11.cc                                 |
| 1          | src/taint_tracking/json11.hpp                                |
| 1          | src/taint_tracking/taint_log_record.cc                       |
| 1          | src/taint_tracking/taint_log_record.h                        |
| 1          | src/snapshot/deserializer.cc                                 |
| 1          | src/taint_tracking/log_listener.h                            |
| 1          | src/ast/ast-value-factory.h                                  |
| 1          | src/taint_tracking/capnp-diff.patch                          |
| 1          | src/bootstrapper.h                                           |
| 1          | test/cctest/heap/test-heap.cc                                |
| 1          | test/cctest/test-api.cc                                      |
| 1          | test/cctest/test-heap-profiler.cc                            |
| 1          | test/cctest/test-log.cc                                      |
| 1          | test/cctest/test-parsing.cc                                  |
| 1          | test/cctest/test-regexp.cc                                   |
| 1          | test/cctest/test-serialize.cc                                |
| 1          | test/cctest/test-strings.cc                                  |
| 1          | src/compiler/effect-control-linearizer.cc                    |
| 1          | src/crankshaft/OWNERS                                        |
| 1          | src/contexts.cc                                              |
| 1          | src/crankshaft/hydrogen-instructions.h                       |
| 1          | src/api-arguments.cc                                         |
| 1          | src/builtins/builtins-api.cc                                 |
| 1          | src/execution.h                                              |
| 1          | src/runtime/runtime-function.cc                              |
| 1          | .../compiler-dispatcher-job.cc                               |
| 1          | src/code-stubs-hydrogen.cc                                   |
| 1          | src/contexts-inl.h                                           |
| 1          | src/runtime/runtime-object.cc                                |
| 1          | src/taint_tracking/picosha2.h                                |
| 1          | src/compiler/code-generator.cc                               |
| 1          | src/crankshaft/lithium-codegen.cc                            |
| 1          | src/debug/liveedit.cc                                        |
| 1          | src/interpreter/bytecode-array-builder.cc                    |
| 1          | src/interpreter/bytecode-array-writer.cc                     |
| 1          | src/interpreter/bytecode-pipeline.h                          |
| 1          | src/source-position-table.cc                                 |
| 1          | .../{ => third_party}/picosha2.h                             |
